words level
craindre B2
crainte B2
craintif B2
crane B2
cranien B2
crayon A1.1
"crayons de couleur" A1
creatif B2
creativite B2
creche A1
credits B2
creer A2
creme A1
"creme a raser" B2
"creme fraiche" B2
cremerie B1
cremeux B2
cremier B2
crepes A2
crepu B2
crepuscule B2
crever B2
crevettes A2
cri B1
crier B1
crise A1
cristal B2
cristalliser B2
critere B2
critiquer B1
crocodile B1
croire A1
croise B2
croisement B2
croisiere B1
croissance B1
croissant A1.1
croitre B2
croix B1
croyance B2
croyant B2
cru B1
cruaute B2
crucial B2
cruel B2
crustace B2
cube B1
cubique B2
cueillette B2
cueillir B2
cuillere A1
cuilleree B2
cuir A1
cuire A2
cuisine A1.1
cuisiner A2
cuisinier B1
cuisiniere A1
cuisse B2
cuisson B1
cuit B2
"cuit a l'eau" B2
cuivre B2
cuivre B2
cul B2
culotte B2
culpabilite B2
culte B2
cultiver B1
culture B1
"culture/ culturel" A2
cure B2
curieusement B2
curieux B1
curiosite B1
"curriculum vitae" B1
curry B2
cybersecurite B2
cycle B2
cylindre B2
cylindrique B2
cypres B2
d'abord A1
d'accord A1
dames B2
danger A1
dangereux B1
dans A1.1
"dans le bon sens" B2
"dans le mauvais sens" B2
"dans le passe" B2
"dans quelques instants" B1
"dans un premier temps" B1
danse A2
danser A1.1
danseur A2
d'apres B1
date A1
"date de naissance" A1.1
"date de validite" B1
datte B2
dattier B2
d'aujourd'hui B2
dauphin A2
daurade B2
"d'autre part" B2
davantage B1
"de ce cote-ci" B2
"de ce cote-la" B2
"de facon a " B2
"de force" B2
"de moins" B2
"de nos jours" B2
"de nouveau" B2
"de plus" B1
"de temps en temps" B1
"de travers" B2
"de ville" B2
dea A1
DEA B2
debarquer B2
debarras B2
debat B1
deboucher B2
debout B1
debranchement B2
debrancher A2
debrouiller B1
debut A2
debutant A2
debuter B2
decamper B2
decede B2
deceder B2
decembre A1.1
deception B2
deces B1
decevoir B1
decharger B1
dechet B1
dechetterie B2
"dechirer un muscle/tendon" B2
dechirure B2
decider A1
decimal B2
decimetre B2
decisif B2
declamer B2
declaration A2
declarer A2
declinaison B2
decolorer B1
decommander B2
deconcertant B2
deconcerter B2
decoration B1
decorer B1
decouler B2
decouper B2
decouragement B2
decouvrir A2
decret B2
decreter B2
decrire A2
decrochage B2
decrocher B1
decroissant B2
decroitre B2
decu B1
dedans A1
deductif B2
deduction B2
deduire B1
defaire B2
defaut B1
"defendre le pouvoir d'achat" B2
defier B2
defile B2
defiler B2
definir B2
definitif B2
definition B2
definitivement B1
degagement B2
degager B2
degourdi B2
degout B1
degoutant B1
degoute B1
degouter B1
"degre " A1
deguerpir B2
deguise B1
deguisement B1
deguster B2
dehors A1
dejeuner A1.1
"delegue syndical" B1
delicatement B1
delicatesse B2
delicieux A2
delinquant B2
delivrer B1
delta B2
demain A1.1
demande A2
"demande d'asile" B2
"demande d'emploi" B1
demander A1.1
"demandeur d'asile" B1
"demandeur d'emploi" B1
demarche B2
demarrage B2
demarrer B1
demenagement A2
demenager A2
dementir B2
demeurer B1
demi A1
demi-douzaine B2
demie B2
demi-finale B2
demi-frere/sur B1
demi-heure A2
demi-pension B1
demi-pression B2
demission B1
demissionner B2
demi-tour B1
democrate B2
democratie A1
demode B2
demonter B1
denombrement B2
denombrer B2
denommer B2
denoncer B2
denonciation B2
denree B2
densite B2
dent A1
dentaire B2
dentier B2
dentifrice A1
dentiste A1
deodorant B1
