words;level
chanter;A1.1
chanteur;A2
chapeau;A1
chaque;B1
charcuterie;B1
charcutier;A2
charge;B2
charger;B1
charges;B2
chariot;B1
chasse;B2
chasser;B2
chasseur;B2
chat;A1.1
châtaigne;B2
châtaignier;B2
châtain;B1
château ;B1
chaud;A1.1
chauffage;A1
chauffer;B2
chauffeur;B1
chaussette;A1
chausson aux pommes;B2
chaussons;B2
chaussure;A1.1
chauve;B1
chef (patron) (sauf Prim);A1
chef de cabine;B2
chef de service;B2
chef d'entreprise;B1
chef d'Etat;B1
chef d'orchestre;B2
chef du personnel;B2
chemin;A1
chemise;A1.1
chemise de nuit;B2
chemisier;B2
chêne;A2
chenille;B2
chèque;A1
chèque postal;B2
chèque-voyage;B2
chéquier;B2
cher;A1
chercher;A1
chercher (-du/un travail);A2
chercher à ;B1
cheval;A2
cheveu;A1.1
chèvre;B2
chevreuil;B2
chiant;B2
chic;A2
chicon;B2
chien;A1.1
chiffre;A2
chimie;B1
chimique;B2
chinois;B1
chips;B2
chirurgical;B1
chirurgie;B1
chirurgien;A1
chlore;B2
choc;B2
chocolat;A2
chœurs;B2
choisir;A1
cholestérol;B2
chômage;A1
chômeur;A2
chope;B2
choquer;B1
chorale;B2
chorizo;B2
chou;B1
chouette;B2
chou-fleur;B2
chrétien;B2
christianisme;B2
chromosome;B2
chronique;B2
chrysanthème;B2
chuchoter;B2
chute;B1
cicatrice;B2
cigare;B1
cigarette;A1
cigogne;B2
cil ;B2
ciment;B2
cinéma;A1.1
cinématographique;B2
cinquantaine;B2
cinquième;B2
circonférence;B2
circuit;B1
circulaire;B2
circulation;A2
circuler;B1
cirque;A2
ciseaux;A1
citadin;B2
citation;B2
cité;B1
cité universitaire;B1
citer;B2
citoyen;A1
citron;B2
citronnier;B2
clair;A2
clairière;B2
clandestin;B1
clarinette;B2
clarinettiste;B2
clarté;B2
classe;A1.1
classé;B1
classe politique;B2
classer;B1
classeur;B1
classification;B2
clavicule;B2
clavier;B2
clé;A1
clémentine;B2
client;A1
clientèle;B1
clignotant;B1
climat;A2
climat social;B2
climatisation;B2
clinique;A1
cloche;B2
clore;B2
clôture;B2
club;A1.1
CM1;B2
CM2;B2
coach;B1
coca;B2
cocher (v.);A2
cochon;A1
cocker;B2
cocotier;B2
cocotte;B2
code  ;B1
code postal;A1
coefficient;B2
coeur;A1
coffre;B2
cognac;B2
cognitif;B2
cognition;B2
coiffer (se);A1
coiffeur;B2
coin;B1
coïncider;B2
col;B2
colère;A2
coléreux;B2
colin;B2
colis;A1
collaborateur;B2
collant (n.);A1
colle (n.);A1
collectif (adj. et nom);B1
collection;B1
collectionner;B1
collectivisme;B2
collectivité;B2
collège (sauf PRrim);A1
collègue;A1
coller;A2
colline;B2
colocataire;B1
colonne vertébrale;B2
colorant;B1
coloration;B2
coloré;B1
colorer;B2
colorier;B2
coloris;B2
coma;B2
combien;A1.1
combinaison;B2
combiné;B2
combiner;B2
combustion;B2
comédien;A2
comité d'entreprise;B1
commander;A2
comme;A1
comme il faut;B2
commencement;B2
commencer;A1.1
commerçant;A2
commerce;A1
commercial;B2
commissaire;B1
commissaire de bord;B2
commissaire de police;B2
commissariat de police;A1
commode;B2
communal;B2
communautaire;B2
communauté;B2
commune (n);B1
communication;B1
communiquer;B1
communisme;B2
communiste;B1
commutativité;B2
compagne;B1
compagnon;A1
comparatif;B2
compartiment;B2
compétence;B1
compétent ;B1
compétition;A2
complément;B1
complet;A1
compléter;A2
compliqué;B1
comportement;B1
composante;B2
composer (se);B1
composition;B2
composter;B1
compréhension;B1
comprendre;A1.1
compresse;B1
comprimé;A2
compris;B1
comptant;B2
compte;A2
compte (bancaire);B2
compte chèque postal (CCP);B2
compte épargne;B2
compter;A1
comptoir;B1
comté;B1
concéder;B2
concentration;B2
concentré;B2
concentrer;B2
concept;B2
concepteur;B2
conception;B2
conceptualiser;B2
concerner;B2
concert;A1.1
concession;B2
concevoir;B2
concierge;B2
conciliant;B2
concilier;B2
conclure;B1
conclusion;B1
concours;A2
concret;B1
concubin;B2
concubinage;B2
concurrent;B2
condamnation;B2
condamner;B2
condiment;B2
condition;B1
conditionnel;B1
conditions de travail;B1
conducteur;B1
conduire;A2
conduite;B2
cône;B2
confection;B2
confession;B2
confiance;B1
confiant;B1
confier;B2
confirmer;B1
confit;B2
confiture;B1
conflit;B1
conforme;B2
conformité;B2
confort;B1
confortable;A2
congé de maladie;B1
congelé;B2
congeler;B2
congénital;B2
congés;B2
conjoindre;B2
conjointement;B2
conjonction;B2
conjoncture;B2
conjugaison;A1
connaissance;A2
connaissance de l'environnement;B2
connaître;A1.1
connecter (se);A2
connexion;B2
conscience;B1
consécutif à;B2
conseil;A2
conseil fédéral;B2
conseil national;B2
conseiller;B2
conséquence;B1
conservateur;B1
conserve;B1
conserver;B1
considérable;B2
consigne;B1
consistance;B2
consoler;B2
consommateur;B1
consommation;B1
consommer;B1
constamment;B2
constant;B2
constante;B2
constater;B1
consternation;B2
constituant;B2
constituer;B2
constitution;B1
construire;B2
consulat;A2
consultation;A1
consulter;B2
contact;B1
contacter;A2
contagieux;B1
contagion;B2
contamination;B2
contemporain;B1
contenance;B2
contenir;B1
content;A1
contenter (se);B2
contester ;B2
continent;A2
continental;B1
continu;B1
continuation;B2
continuel;B2
continuellement;B1
continuer;A1
continuité;B2
contracter;B2
contrarié;B2
contrarier;B2
contrariété;B2
contrat;A2
contrat à durée déterminée (CDD);B2
contrat à durée indéterminée (CDI);B2
contrat de droit privé;B2
contrat de travail;B1
contravention;B1
contre;B1
contreplaqué;B2
contribuer;B2
contribution;B2
contrôle;A2
contrôle antipollution;B2
contrôle d'identité;B1
contrôle technique;B2
contrôler;A2
contrôleur;B1
convaincre;B1
convalescence;B2
convalescent;B2
convenir;B2
convention;B2
convenu;B2
convergence;B2
conversation;A1
convexe;B2
coordonnées;B2
copain/copine;A1.1
copie conforme;B1
copier;A2
copieux;B2
copine;A1
copropriétaire;B2
co-propriété;B2
coq;B1
coq au vin;B2
coqueluche;B2
coquillages;B1
coquille;B2
coquille Saint-Jacques;B2
coquillettes;B2
corbeau;B2
corde(s);B2
corn-flakes;B2
cornichon;B1
corporel;B2
corps;A1
corpulence;B2
correct;A2
correction;A2
correspondance;A1
correspondant;B1
correspondre;B1
corriger;A1
corriger (se);B2
cortège;B2
costume;B2
côte;A2
côté;B1
côté couloir/fenêtre;B2
côté cour;B2
cote de popularité;B2
côté jardin;B2
coteau;B2
côtelette;B2
coter;B2
côtes-du-Rhône;B2
côtier;B2
cotisation;B2
cotisations sociales;B2
cotiser;B2
coton;A1
